price,style,size,gen,gb,model,time,year,wifi,cellular,unlocked,color
149.95,Mini,2,,16GB,,,,Wi-Fi,,,Gray
149.99,Air,2,9.7,32GB,MNV22LL/A,,,Wi-Fi,,,Gray
299.95,Mini,4,,128GB,,,,Wi-Fi,,,Gray
103.00,mini,2,7.9,32GB,,,,Wi-Fi,Cellular,,Gray
75.00,Air,1,9.7,16GB,A1474,,,Wi-Fi,,,Silver
123.50,Air,1,9.7,64GB,,,,Wi-Fi,Cellular,,Gray
329.00,Pro,1,12.9,32GB,,,,Wi-Fi,,,Gray
76.49,mini,2,,16GB,ME276LL/A,,,Wi-Fi,,,Gray
149.99,ipad,5,9.7,32GB,,,,Wi-Fi,,,Gray
77.00,Air,1,9.7,16GB,A1474,,,Wi-Fi,,,Gray
300.00,ipad,6,,32GB,MR6V2LL/A,,,WIFI,CELLULAR,,
179.85,Air,,9.7,32GB,,,,Wi-Fi,,,Gray
150.00,Air,,9.7,32GB,,,,Wi-Fi,,,Gray
175.00,ipad,5,9.7,128GB,,,,Wi-Fi,,,Gray
269.95,ipad,7,10.2,32GB,MW742LL/A,,,Wi-Fi,,,Gray
254.99,ipad,10.,10.2,32GB,,,,WiFi,,,Gold
199.99,Pro,1,9.7,32GB,,,,Wi-Fi,,,Gray
199.99,PRO,,,64GB,A1709,,,,,UNLOCKED,GRAY
269.98,ipad,7,10.2,32GB,MW742LL/A,,,Wi-Fi,,,Gray
249.85,ipad,6,9.7,32GB,,,2018,Wi-Fi,,,Silver
141.99,Air,,,16GB,MGL12LL/A,,,Wi-Fi,,,Gray
169.99,ipad,5,9.7,32GB,,,,Wi-Fi,,,
294.81,Pro,,9.7,,A1674,,,,Cellular,Unlocked,Gold
600.00,pro,,11,,,,,,,,
474.99,Air,,10.5,256GB,,,,Wi-Fi,4G ,Unlocked,Gray
104.99,Air,1,9.7,16GB,,,,Wi-Fi,Cellular,,Gray
69.00,ipad,3R,9.7,64GB,A1416,,,WIFI,,,
250.00,ipad,5,9.7,32GB,,,,Wi-Fi,,,Silver
149.99,Air,,,32GB,MNV22LL/A,,,Wi-Fi,,,Gray
242.99,Pro,1,9.7,128GB,,,,Wi-Fi,Cellular,Unlocked,Gray
349.95,ipad,7,10.2,128GB,,,,Wi-Fi,,,Gold
77.99,Air,1,9.7,16GB,MD788LL/A,,,Wi-Fi,,,Silver
209.00,ipad,5,9.7,32GB,,,,WiFi,Cellular,Unlocked,Gray
199.95,Air,,,16GB,,,,Wi-Fi,,,Gray
139.85,mini,2,7.9,32GB,,,,Wi-Fi,4G ,Unlocked,Silver
229.99,ipad,2017 ,,32GB,MP2F2LL/A,,2017,Wi-Fi,,,Gray
59.59,ipad,3r,9.7,16GB,,,,WiFi,,,Black
260.00,ipad,7,,,,,,,,,
151.02,Air,,9.7,32GB,,,,Wi-Fi,,,Gray
200.00,AIR,,,16GB,,,,WI-FI,,,
98.00,mini,1,7.9,32GB,,,,Wi-Fi,,,Black
336.98,Pro,2,10.5,64GB,,,,Wi-Fi,Cellular,Unlocked,Gray
249.95,Mini,3,7.9,16GB,,,,Wi-Fi,4G ,Unlocked,Gold
269.85,Pro,,9.7,32GB,,,,Wi-Fi,,,Gold
299.99,ipad,6,9.7,32GB,,,,Wi-Fi,Cellular,Unlocked,Gray
191.00,Air,,9.7,64GB,,,,Wi-Fi,Cellular,Unlocked,Gray
359.95,Pro,2,10.5,64GB,,,,Wi-Fi,,,Gold
119.85,ipad,4,9.7,32GB,,,,Wi-Fi,,,BLACK
500.00,Mini,,7.9,64GB,,,,Wi-Fi,,,Gray
199.95,Air,,9.7,16GB,,,,Wi-Fi,,,Gray
139.95,Mini,1,,16GB,,late ,,Wi-Fi,,,Black
389.99,Air,,,64GB,,,,,,Unlocked,Silver
99.85,mini,2,7.9,16GB,,,,Wi-Fi,,,Silver
165.00,ipad,2 ,,16GB,MC769LL/A,,,WiFi,,,Black
